ident	x	y
Tr001	330837	5513060
Tr002	330868	5513040
Tr003	331343	5514850
Tr004	331326	5514830
Tr005	330641	5513220
Tr006	330589	5513270
Tr007	330646	5513310
Tr008	330670	5513280
Tr009	330623	5513180
Tr010	330641	5513240
Tr011	330639	5513330
Tr012	330636	5513360
Tr013	330697	5513250
Tr014	330620	5513210
Tr015	330163	5513520
Tr016	330166	5513540
Tr017	330186	5513450
Tr018	330165	5513470
Tr019	330152	5513450
Tr020	330174	5513470
Tr021	329149	5513860
Tr022	329145	5513840
Tr023	329155	5513800
Tr024	329146	5513760
Tr025	331162	5514490
Tr026	331159	5514490
Tr027	331122	5514440
Tr028	331126	5514460
Tr029	331112	5514440
Tr030	331479	5514940
Tr031	331494	5514940
Tr032	331647	5515040
Tr033	331683	5515050
Tr034	331796	5515120
Tr035	331821	5515170
Tr036	331857	5515150
Tr037	331848	5515150
Tr038	331868	5515170
Tr039	331883	5515180
Tr040	331925	5515240
Tr041	331930	5515260
Tr042	331942	5515280
TR043	332002	5515410
Tr044	332033	5515410
Tr045	332053	5515420
Tr046	332068	5515450
Tr047	332278	5515400
Tr048	332302	5515410
Tr049	332384	5515570
Tr050	332400	5515590
Tr051	332402	5515590
Tr052	332471	5515620
Tr053	332455	5515610
Tr054	330756	5513270
Tr055	330765	5513270
Tr056	330781	5513260
Tr057	330774	5513060
Tr058	330873	5513000
Tr059	330778	5513060
Tr060	330111	5513170
Tr061	329858	5513030
Tr062	329995	5513070
Tr063	330013	5513070
Tr064	330096	5513150
Tr065	330120	5513180
Tr066	330158	5513250
Tr067	330086	5513210
Tr068	330966	5512850
Tr069	330958	5512860
Tr070	330996	5512830
Tr071	331533	5513020
Tr072	331328	5513260
Tr073	331307	5513270
Tr074	331330	5513260
Tr075	331515	5513260
Tr076	331656	5513390
Tr077	331678	5513400
Tr078	331595	5513100
Tr079	331515	5512960
Tr080	331439	5512860
Tr081	332884	5515840
Tr082	332885	5515850
Tr083	332883	5515840
Tr084	332884	5515900
Tr085	332888	5515880
Tr086	331686	5514970
Tr087	331686	5514970
Tr088	331699	5514970
Tr089	331715	5514980
Tr090	331723	5514980
Tr091	331732	5514980
Tr092	331826	5515020
Tr093	331827	5515000
Tr094	331818	5515010
Tr095	331855	5515050
Tr096	331851	5515030
Tr097	331891	5515040
Tr098	331962	5515070
Tr099	331984	5515080
Tr100	332017	5515100
Tr101	332097	5515130
Tr102	332099	5515140
Tr103	332105	5515140
Tr104	332115	5515140
Tr105	332126	5515160
Tr106	332145	5515160
Tr107	332168	5515190
Tr108	332147	5515180
Tr109	332193	5515190
Tr110	332225	5515220
Tr111	332231	5515220
Tr112	332267	5515260
Tr113	332326	5515300
Tr114	332307	5515290
Tr115	332387	5515360
Tr116	332406	5515370
Tr117	332358	5515340
Tr118	332431	5515400
Tr119	332437	5515410
Tr120	332445	5515420
Tr121	332474	5515450
Tr122	332512	5515470
Tr123	332572	5515510
Tr124	332558	5515490
Tr125	329446	5515440
Tr126	329448	5515450
Tr127	329530	5515460
Tr128	332686	5515730
Tr129	332745	5515770
Tr130	332723	5515740
Tr131	332801	5515780
Tr132	329385	5515160
Tr133	331238	5516180
Tr135	332638	5512820
Tr136	332688	5512810
Tr137	332584	5512720
Tr138	332652	5512770
Tr139	332643	5512760
Tr140	332451	5512680
Tr141	332446	5512670
Tr142	332418	5512670
Tr143	332429	5512670
Tr144	332408	5512670
Tr145	332373	5512680
Tr146	332344	5512720
Tr147	332341	5512740
Tr148	332355	5512820
Tr149	332359	5512850
Tr150	332351	5512880
Tr151	332312	5512930
Tr152	332245	5512660
Tr153	332259	5512650
Tr154	332341	5512570
Tr155	332363	5512570
Tr156	332410	5512570
Tr157	332513	5512590
Tr158	332609	5512640
Tr159	332477	5512580
Tr160	332218	5512710
Tr161	332226	5512760
Tr162	332129	5512880
Tr163	332119	5512880
Tr164	332094	5513110
Tr165	332097	5513030
Tr166	332015	5513760
Tr167	331997	5513780
Tr168	331823	5513630
Tr169	331860	5513670
Tr170	331755	5513600
Tr171	331591	5513310
Tr172	331633	5513370
Tr173	329003	5514130
Tr174	329126	5514580
Tr175	328960	5514430
Tr176	328924	5514390
Tr177	328930	5514410
Tr178	328924	5514390
Tr179	328925	5514390
Tr180	328860	5514120
Tr181	328861	5514120
Tr182	328851	5513970
Tr183	328794	5513660
Tr184	328788	5513580
Tr185	328780	5513490
Tr186	328780	5513620
Tr187	328739	5513420
Tr188	328748	5513420
Tr189	328760	5513330
Tr190	328756	5513330
Tr191	328759	5513240
Tr192	328478	5513190
Tr193	328443	5513210
Tr194	328541	5513140
Tr195	328502	5513150
Tr196	328590	5513160
Tr197	328444	5513070
Tr198	328370	5513020
Tr199	328400	5513070
Tr200	328371	5513100
Tr201	328583	5514680
Tr202	328587	5514670
Tr203	328576	5514680
Tr204	333252	5517000
Tr205	333247	5517030
Tr206	333175	5517020
Tr207	333218	5517050
Tr208	333091	5516930
Tr209	333123	5516930
Tr210	332969	5517020
Tr211	332404	5514770
Tr212	332372	5514790
Tr213	332482	5514730
Tr214	332799	5513150
Tr215	332812	5513200
Tr216	332864	5514740
Tr217	332801	5514730
Tr218	332946	5514800
Tr219	333376	5514370
Tr220	331243	5513850
Tr221	331241	5513840
Tr222	331371	5513920
Tr223	331076	5514350
Tr224	331134	5514340
